assessor_initials,participant_video_id,age_m,age_yr,gender_male1,ok_video_present,condition,present_side,puzzle_selection,puzzle_harder,redcap,video_on_server,assessor_video_on_server,exclude
MM,EALS_study1_20220817_6,62,5,0,1,Unreliable,Hard Left,Easy,0,1,1,1,
MM,EALS_study1_20220817_7,63,5,0,0,Unreliable,Hard Right,Hard,1,1,1,1,
DG,EALS_study1_20220819_4,69,5,1,1,Reliable,Hard Right,Hard,1,1,1,1,
MM,EALS_study1_20220820_1,75,6,1,1,Reliable,Hard Left,Hard,1,1,1,1,
DG,EALS_study1_20221105_1,53,4,1,1,Reliable,Hard Left,Hard,1,1,1,0,
ACN,EALS_study1_20221105_3,69,5,1,1,Reliable,Hard Right,Hard,1,1,1,1,
DG,EALS_study1_20221106_3,58,4,0,0,Reliable,Hard Left,Hard,1,1,1,0,
DG,EALS_study1_20221113_1,57,4,0,1,Unreliable,Hard Left,Easy,0,1,0,1,
DG,EALS_study1_20221202_1,61,5,0,1,Reliable,Hard Right,Hard,1,1,1,1,
ACN,EALS_study1_20221202_2,59,4,0,1,Reliable,Hard Right,Hard,1,1,1,1,
ACN,EALS_study1_20221210_2,75,6,0,1,Unreliable,Hard Right,Hard,1,1,1,1,
ACN,EALS_study1_20221210_4,82,6,0,0,Unreliable,Hard Right,Hard,1,1,1,1,
DG,EALS_study1_20221211_1,62,5,0,1,Unreliable,Hard Right,Hard,1,1,1,0,
