assessor_initials,participant_video_id,age_m,age_yr,gender_male1,ok_video_present,condition,present_side,puzzle_selection,puzzle_harder,redcap,video_on_server,assessor_video_on_server,exclude
MM,EALS_study1_20220826_7,65,5,0,1,Reliable,Hard Right,Hard,1,1,1,1,
MM,EALS_study1_20220828_1,59,4,0,1,Unreliable,Hard Left,Hard,1,1,1,1,
MM,EALS_study1_20220828_4,77,6,1,0,Reliable,Hard Left,Hard,1,1,1,1,
DG,EALS_study1_20221007_1,48,4,1,0,Reliable,Hard Right,Hard,1,1,1,1,
DG,EALS_study1_20221007_2,50,4,0,1,Reliable,Hard Right,Easy,0,1,1,1,
DG,EALS_study1_20221014_2,62,5,0,0,Reliable,Hard Left,Hard,1,1,1,1,
DG,EALS_study1_20221014_3,62,5,1,1,Unreliable,Hard Right,Easy,0,1,1,1,
DG,EALS_study1_20221105_4,69,5,0,1,Reliable,Hard Left,Hard,1,1,1,1,
KC,EALS_study1_20221210_1,76,6,1,0,Unreliable,Hard Right,Hard,1,1,1,1,
KC,EALS_study1_20221210_3,73,6,1,1,Unreliable,Hard Right,Hard,1,1,1,1,
ACN,EALS_study1_20230115_1,71,5,1,1,Unreliable,Hard Right,Hard,1,1,0,1,
ACN,EALS_study1_20230115_2,63,5,1,0,Unreliable,Hard Right,Easy,0,1,1,1,
